replicate,mean_injuries,injury_rate,rush_mean_injury_difference,rush_injury_rate_difference,borough_injury_rate_manhattan,borough_injury_rate_bronx,borough_injury_rate_brooklyn,borough_injury_rate_queens,borough_injury_rate_staten_island
58,0.3324233810823741,0.24502106023508663,-0.02906798403063615,-0.00889405680936109,0.19893406048587012,0.26698494307748805,0.26205986290288247,0.2449652691019939,0.2143318269851517
59,0.3286522387639659,0.24461767934033152,-0.02321112735086389,-0.005939901636539124,0.19367274507404234,0.2632397329186865,0.2640475684858781,0.24458488354314256,0.21465606636709297
60,0.33007814332217,0.2439234889633111,-0.036776936835728746,-0.013081888500510008,0.1971700444883836,0.26714702663261586,0.26283846872082167,0.24063017410064724,0.2090245520902455
61,0.3340087618082721,0.24638129813600504,-0.023675477849036675,-0.008052078046480143,0.20185278548021174,0.26033550279585665,0.2648673762459875,0.24523833518089289,0.22651006711409397
62,0.33534085685606807,0.24672839332451524,-0.034713429757958436,-0.016567803764536676,0.19518251800347652,0.2603468844636138,0.2697039110884873,0.24522309049659693,0.2246740220661986
63,0.33255471439694556,0.24458953648720907,-0.028101483041542696,-0.008605053938511381,0.19231738035264484,0.26566868067454236,0.26034900012737233,0.2425330341560708,0.2173197234112611
64,0.33624142815598645,0.2463719171849642,-0.024820958522125902,-0.00531169366273998,0.19992542415014605,0.2632741326953161,0.2627215430819339,0.24413475035091237,0.21890201528839473
65,0.33105376223041494,0.24437377461327028,-0.028008894443547316,-0.009531726280122638,0.19378473976755936,0.27048138056312443,0.2635642472320027,0.23827259915441917,0.21151271753681392
66,0.3331550952635578,0.2456308220527397,-0.028496003938015435,-0.008849759298804383,0.19744945567651634,0.25868548904574207,0.2656715148422217,0.24353242577987644,0.22722852512155592
67,0.33386804754265986,0.24685034568804584,-0.024258204029200148,-0.00772473695173595,0.20093885264890568,0.2666171555885629,0.2595484279383836,0.2486406829615326,0.2257001647446458
68,0.33169166690119045,0.24555577444441318,-0.02648597587108209,-0.010885656087971624,0.201181201306861,0.26430268689453484,0.2638953365688964,0.24271893327986366,0.21932717678100264
69,0.3323014287188435,0.24594039343708665,-0.019701245912017884,-0.0037268614133395273,0.1998392879218692,0.27039247603544947,0.26041221243479007,0.24100030251083998,0.22429906542056074
70,0.3354252854154354,0.2475539170161071,-0.021392389085099328,-0.005612632077449886,0.19409230000624492,0.2712882096069869,0.26588465298142716,0.2485221921651137,0.22326832548755884
71,0.33408380941659865,0.24677529807971932,-0.030215135695856654,-0.009903496465998779,0.19802602627773935,0.2666909223212661,0.2658777456155287,0.23677721302400484,0.2236842105263158
72,0.32932766723890466,0.24322929858629067,-0.02853956594384932,-0.010808567361424493,0.19866237304929402,0.26062812926718254,0.2545500935533254,0.2484588175846387,0.21040500493908462
73,0.3307629527481496,0.2443174889070254,-0.02934797040220971,-0.00845190085129141,0.19659876658568493,0.2671602230143497,0.2610991424829975,0.23718797758532859,0.2182842000662471
74,0.3324515239354966,0.24561206015065806,-0.02302533711106286,-0.007685154368883618,0.20033659539986287,0.2656518981607321,0.2619687087010274,0.24623601220752797,0.2185648452929559
75,0.33022823853882305,0.24352010806855598,-0.02667997711729586,-0.010023316722740927,0.19370819915779044,0.2613335765757548,0.26123078240760567,0.2426733921815889,0.23471400394477318
76,0.33356785710935377,0.24564958395482134,-0.020801243955205606,-0.005077651271633621,0.19068513759167555,0.2714115599523679,0.26362142345455314,0.245043775787461,0.22131704005431094
77,0.33037833375547615,0.24423306034765804,-0.027971159287871472,-0.007619470496090769,0.20178815348317397,0.2575799465487052,0.26077976817702847,0.2424561932017874,0.21902296991264963
78,0.33126014315331287,0.24309796527171926,-0.02149225729585663,-0.007521222667513039,0.193961517045103,0.2617376242136931,0.2610626956595313,0.24099360104801734,0.22830894862198026
79,0.3351344759331701,0.2475539170161071,-0.03377879246727056,-0.013226702646230826,0.19956372701776254,0.2643277002204262,0.26613831011121053,0.2425630442442241,0.22115384615384615
80,0.3331269524104354,0.24486158406739275,-0.025033105351348894,-0.008427350650929616,0.2015484822416124,0.26265910991359287,0.2659973847386848,0.2425772571197738,0.21699390656736628
81,0.332226381110517,0.24427058415182132,-0.033980870132469865,-0.013609032614488231,0.19400847035376184,0.2678000182798647,0.26025243296077516,0.24458917835671343,0.2268565615462869
82,0.335500333023762,0.24532125066839275,-0.031040480624216327,-0.01234376445753671,0.19401773448232795,0.26699729486023444,0.25776200735014576,0.24752773455147833,0.2173768308921438
